"BehaviorSpace results (NetLogo 5.3.1)"
"Model 12 Marketing Networking in Micro Firms version promotores 2_Estrategiav19.nlogo"
"Promoters vs WoM_sales"
"09/19/2016 15:55:55:462 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","0","0","0"
"[run number]","1","1","1","2","2","2","3","3","3","4","4","4","5","5","5","6","6","6","7","7","7","8","8","8","9","9","9","10","10","10"
"negative-process?","true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,
"beta","0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,
"nrunsatisfied","0.05",,,"0.05",,,"0.05",,,"0.05",,,"0.05",,,"0.05",,,"0.05",,,"0.05",,,"0.05",,,"0.05",,
"homophily","true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,
"uncertaintymax","0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,,"0.25",,
"D","2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,
"down-random","0.1",,,"0.1",,,"0.1",,,"0.1",,,"0.1",,,"0.1",,,"0.1",,,"0.1",,,"0.1",,,"0.1",,
"owner-product","10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,
"nrpromoter","0.15",,,"0.15",,,"0.15",,,"0.15",,,"0.15",,,"0.15",,,"0.15",,,"0.15",,,"0.15",,,"0.15",,
"nrinitproducts","10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,
"utilitymin","0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,
"nrowners","1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,
"average-node-degree","10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,
"max-contacts-day","15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,
"strategies","""brokerage-grow-size-connect-promoters""",,,"""brokerage-grow-size-connect-promoters""",,,"""brokerage-grow-size-connect-promoters""",,,"""brokerage-grow-size-connect-promoters""",,,"""brokerage-grow-size-connect-promoters""",,,"""brokerage-grow-size-connect-promoters""",,,"""brokerage-grow-size-connect-promoters""",,,"""brokerage-grow-size-connect-promoters""",,,"""brokerage-grow-size-connect-promoters""",,,"""brokerage-grow-size-connect-promoters""",,
"satisfaction-force","0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,,"0.2",,
"nrproducts","10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,
"diffusion-process?","true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,
"advertisement2","1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,
"heterobeta","true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,
"fullknowledge","false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,
"market-process?","true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,
"probbuying","0.1",,,"0.1",,,"0.1",,,"0.1",,,"0.1",,,"0.1",,,"0.1",,,"0.1",,,"0.1",,,"0.1",,
"market","2000",,,"2000",,,"2000",,,"2000",,,"2000",,,"2000",,,"2000",,,"2000",,,"2000",,,"2000",,
"unsatisfaction-force","1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,
"[reporter]","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters"
"[final]","0","0","1","0","0","0","1","0","1","2","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","37","37","10","34","34","10","12","12","9","17","17","8","24","24","10","15","15","7","21","21","6","24","24","9","2","0","7","20","20","10"
"[mean]","0.8910891089108911","0.7326732673267327","0.2871287128712871","1.7821782178217822","1.3663366336633664","0.4158415841584158","0.6237623762376238","0.26732673267326734","0.25742574257425743","0.5445544554455446","0.33663366336633666","0.2079207920792079","0.7227722772277227","0.6039603960396039","0.2376237623762376","0.7326732673267327","0.5445544554455446","0.26732673267326734","0.37623762376237624","0.2079207920792079","0.19801980198019803","0.4752475247524752","0.27722772277227725","0.2079207920792079","0.06930693069306931","0","0.1782178217821782","0.9504950495049505","0.5841584158415841","0.33663366336633666"
"[steps]","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"

"[all run data]","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
